Fecha,Ingresos
24.07.2014,"39,08"
23.10.2014,"59,66"
29.01.2015,"29,33"
23.04.2015,"22,72"
23.07.2015,"23,19"
22.10.2015,"25,36"
28.01.2016,"35,75"
28.04.2016,"29,13"
28.07.2016,"30,4"
27.10.2016,"32,71"
02.02.2017,"43,74"
27.04.2017,"35,71"
27.07.2017,"37,96"
26.10.2017,"43,74"
01.02.2018,"60,45"
26.04.2018,"51,04"
26.07.2018,"52,89"
25.10.2018,"56,58"
31.01.2019,"72,38"
25.04.2019,"59,7"
25.07.2019,"63,4"
24.10.2019,"69,98"
30.01.2020,"87,44"
30.04.2020,"75,45"
30.07.2020,"88,91"
29.10.2020,"96,15"
02.02.2021,"125,56"
