Fecha de publicación,Ingresos
02.02.2021,"125,56B"
29.10.2020,"96,15B"
30.07.2020,"88,91B"
30.04.2020,"75,45B"
30.01.2020,"87,44B"
24.10.2019,"69,98B"
25.07.2019,"63,4B"
25.04.2019,"59,7B"
31.01.2019,"72,38B"
25.10.2018,"56,58B"
26.07.2018,"52,89B"
26.04.2018,"51,04B"
01.02.2018,"60,45B"
26.10.2017,"43,74B"
27.07.2017,"37,96B"
27.04.2017,"35,71B"
02.02.2017,"43,74B"
27.10.2016,"32,71B"
28.07.2016,"30,40B"
28.04.2016,"29,13B"
28.01.2016,"35,75B"
22.10.2015,"25,36B"
23.07.2015,"23,19B"
23.04.2015,"22,72B"
29.01.2015,"29,33B"
23.10.2014,"59,66B"
24.07.2014,"39,08B"
24.04.2014,--
30.01.2014,--
24.10.2013,--
